Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2020-05-22;agust d;Daechwita;대취타;;https://youtu.be/qGjAWJ2zWWI;Boy Solo;Major;463991717.0;15033356.0;1377487.0;1;0.03240005252076515
2020-05-21;yubin;yaya (Me Time);넵넵;;https://youtu.be/BJD0arHF_5c;Girl Solo;Major;1196851.0;53231.0;2697.0;2;0.044475878785245615
2020-05-21;onlyoneof;Angel (prod. GRAY);;;https://youtu.be/vVTo8p72FxQ;Boy;Major;7631957.0;85283.0;3991.0;3;0.011174460233463055
2020-05-20;ryu sujeong;Tiger Eyes;;;https://youtu.be/aE6curPGQRY;Girl Solo;Major;2675409.0;43215.0;3486.0;4;0.016152670488886
2020-05-20;crush;Mayday feat. Joy (Red Velvet);자나깨나;;https://youtu.be/29ycT6fA-Rs;Boy Solo;Major;18706996.0;665192.0;31728.0;5;0.03555846165787388
2020-05-19;nct 127;Punch;;;https://youtu.be/U08OSl3V4po;Boy;Major;46578607.0;1827928.0;456306.0;6;0.0392439387463863
2020-05-19;secret number;Who Dis?;;;https://youtu.be/mkYwq_CKpyw;Girl;Major;48228928.0;1638916.0;452661.0;7;0.03398201179176116
2020-05-18;redsquare;ColorFull;;;https://youtu.be/we1wqjcsYBU;Girl;Major;;;;8;
2020-05-18;n.flying;Amnesia;;;https://youtu.be/UcxNeKzdDN4;Boy;Japanese;486643.0;29920.0;1602.0;9;0.06148244195436901
2020-05-18;txt;Can't You See Me?;세계가 불타버린 밤, 우린...;;https://youtu.be/cMFHUTJ13Ys;Boy;Major;78652822.0;3639009.0;590445.0;10;0.04626673153571019
2020-05-15;woo!ah!;woo!ah!;우아;;https://youtu.be/FBcuYNTmYdM;Girl;Major;;;;11;
2020-05-15;oh my girl;Dolphin;;;https://youtu.be/oaRTMjLdiDw;Girl;Special;36676067.0;0.0;12105.0;12;0.0
2020-05-14;unvs;Give You Up;;;https://youtu.be/AhHkUqlELvU;Boy;Major;163638.0;5104.0;483.0;13;0.03119079920311908
