nom_du_groupe;Short;Korean Name;Debut;Company;Members;Orig. Memb.;Fanclub Name;Active;id_group;genre
100%;;백퍼센트;2012-09-18;TOP Media;4;7;Perfection;Yes;1;Boy Group
14u;;원포유;2017-04-17;BG;14;14;;Yes;2;Boy Group
1the9;;원더나인;2019-02-09;MBK;9;9;;Yes;3;Boy Group
24k;;투포케이;2012-09-06;Choeun;8;6;24U;Yes;4;Boy Group
2am;;투에이엠;2008-06-21;JYP, Big Hit;4;4;I Am;No;5;Boy Group
2pm;;투피엠;2008-07-04;JYP;6;7;Hottest;Yes;6;Boy Group
8eight;;에이트;2007-09-06;Big Hit;3;3;Sweet Voice;No;7;Boy Group
a-jax;;에이젝스;2012-06-01;DSP;5;7;A-LIGHT;No;8;Boy Group
a.c.e;ACE;에이스;2017-05-23;Beat;5;5;Choice;Yes;9;Boy Group
a.cian;;에이션;2012-10-10;Wings;4;5;;No;10;Boy Group
a6p;;에이식스피;2015-05-20;DS;6;6;;No;11;Boy Group
ab6ix;;에이비식스;2019-05-22;Brand New;5;5;ABNEW;Yes;12;Boy Group
alphabat;;알파벳;2013-11-14;Simtong;5;9;;Yes;13;Boy Group
astro;;아스트로;2016-02-23;Fantagio;6;6;AROHA;Yes;14;Boy Group
ateez;;에이티즈;2018-10-24;KQ;8;8;;Yes;15;Boy Group
b.a.p;BAP;비에이피;2012-01-27;TS;6;6;BABY;No;16;Boy Group
b.heart;;비하트;2017-01-25;Poong;4;4;;Yes;17;Boy Group
b.i.g;;비아이지;2014-07-09;GH;5;5;;Yes;18;Boy Group
b1a4;;비원에이포;2010-04-19;WM;5;5;BANA;Yes;19;Boy Group
be.a;;비에이;2017-05-25;Chrome;3;5;;Yes;20;Boy Group
beatwin;;비트윈;2014-01-06;Elen;2;6;;Hiatus;21;Boy Group
bigbang;;빅뱅;2006-08-19;YG;4;5;VIP;Yes;22;Boy Group
bigflo;;빅플로;2014-07-19;HO;5;5;;Yes;23;Boy Group
bigstar;;빅스타;2012-07-12;Brave;5;5;;No;24;Boy Group
black6ix;;블랙식스;2017-04-07;BLACK HOLE;6;6;;Yes;25;Boy Group
blanc7;;블랑세븐;2017-03-03;Jackpot;7;7;Prism;No;26;Boy Group
blk;;비엘케이;2017-11-28;Byking;7;7;;No;27;Boy Group
block b;;블락비;2011-04-13;KQ;7;7;BBC;Yes;28;Boy Group
boyfriend;;보이프렌드;2011-05-26;Starship;6;6;Bestfriend;No;29;Boy Group
boys republic;;소년공화국;2013-06-03;Happy Tribe, Universal;5;5;Royal Family;Hiatus;30;Boy Group
btob;;비투비;2012-03-21;Cube;7;7;Melody;Yes;31;Boy Group
bts;Bangtan Boys;방탄소년단;2013-06-13;Big Hit;7;7;ARMY;Yes;32;Boy Group
c-clown;;씨클라운;2012-06-19;Yedang;6;6;Crown;No;33;Boy Group
cici;;씨씨;2019-06-27;UPVOTE;4;4;;Yes;34;Boy Group
cix;;씨아이엑스;2019-07-23;C9;5;5;;Yes;35;Boy Group
cnblue;;씨엔블루;2010-01-14;FNC;4;4;Boice;Yes;36;Boy Group
cravity;;크래비티;2020-04-04;Starship;9;9;;Yes;37;Boy Group
cross gene;;크로스진;2012-07-08;Amuse;5;6;Chromosome;Yes;38;Boy Group
d-crunch;;디크런치;2018-08-06;All-S;9;9;;Yes;39;Boy Group
dalmatian;DMTN;달마시안;2010-09-01;Monkey Funch;7;7;Dalmate;No;40;Boy Group
day6;;데이식스;2015-09-07;JYP;5;6;;Yes;41;Boy Group
dkb;Darkbee;다크비;2020-02-03;Brave;9;9;;Yes;42;Boy Group
enoi;;이엔오아이;2019-04-19;KITHEWHALE;7;7;;Yes;43;Boy Group
exo;;엑소;2012-04-08;SM;9;12;EXO-L;Yes;44;Boy Group
fly to the sky;;플라이 투 더 스카이;1999-11-21;SM, H2;2;2;Fly High;Yes;45;Boy Group
ftisland;;에프티 아일랜드;2007-06-07;FNC;4;5;Primadonna;Yes;46;Boy Group
g.o.d.;;지오디;1999-01-26;JYP, SidusHQ;5;5;Fan God;Yes;47;Boy Group
golden child;;골든 차일드;2017-08-28;Woollim;10;11;;Yes;48;Boy Group
got7;;갓세븐;2014-01-16;JYP;7;7;I GOT7;Yes;49;Boy Group
greatguys;;멋진녀석들;2017-08-25;DNA;9;9;Grace;Yes;50;Boy Group
h.b.y;Hot Blood Youth;열혈남아;2017-08-16;Rainbow;5;5;;Yes;51;Boy Group
h.o.t;;에이치오티;1996-09-07;SM;5;5;Club H.O.T;No;52;Boy Group
halo;;헤일로;2014-07-26;Histar;6;6;;Yes;53;Boy Group
high4;;하이포;2014-04-08;NAP;4;4;;No;54;Boy Group
highlight;Beast;하이라이트;2009-10-14;Around Us;4;6;B2uty;Yes;55;Boy Group
history;;히스토리;2013-04-26;LOEN;5;5;Storia;No;56;Boy Group
homme;;옴므;2010-06-28;Big Hit;2;2;;Yes;57;Boy Group
honeyst;;허니스트;2017-05-17;FNC;4;4;;Yes;58;Boy Group
hotshot;;핫샷;2014-10-29;Star Crew;5;6;;Yes;59;Boy Group
ikon;;아이콘;2015-09-15;YG;6;7;iKONIC;Yes;60;Boy Group
imfact;;임팩트;2016-01-27;Star Empire;5;5;;Yes;61;Boy Group
in2it;;인투잇;2017-10-26;MMO;7;8;;Yes;62;Boy Group
infinite;;인피니트;2010-06-09;Woollim;6;7;Inspirit;Yes;63;Boy Group
inx;;인엑스;2016-08-02;;5;5;;No;64;Boy Group
iz;;아이즈;2017-08-31;Music K;4;4;;Yes;65;Boy Group
jbj;;제이비제이;2017-10-18;Fave;6;6;;No;66;Boy Group
jbj95;;제이비제이95;2018-10-30;Hunus;2;2;;Yes;67;Boy Group
jjcc;;제이제이씨씨;2014-03-13;Jackie Chan Group;5;6;;Yes;68;Boy Group
jyj;;제이와이제이;2010-09-08;C-JeS;3;3;Cassiopeia;Yes;69;Boy Group
k-much;;케이머치;2014-01-07;Chrome;4;5;;No;70;Boy Group
knk;;크나큰;2016-03-03;YNB;5;5;Tinker Bell;Yes;71;Boy Group
limitless;;리미트리스;2019-07-09;ONO;4;4;;Yes;72;Boy Group
lu:kus;;루커스;2014-07-04;JWK;4;5;;Yes;73;Boy Group
lucente;;루첸트;2018-09-18;NOGA;7;7;;Yes;74;Boy Group
m.i.b;;엠아이비;2011-10-26;Jungle;4;4;;No;75;Boy Group
m.o.n.t;MONT;몬트;2019-01-04;FM;3;3;;Yes;76;Boy Group
madtown;;매드타운;2014-10-06;GNI;7;7;;No;77;Boy Group
map6;;맵식스;2015-11-10;DreamT;5;5;;Yes;78;Boy Group
masc;;마스크;2016-08-19;JJ Holic;4;8;;Yes;79;Boy Group
mblaq;;엠블랙;2009-10-14;J. Tune;3;5;A+;Yes;80;Boy Group
mfect;M.fect;엠펙트;2015-04-27;Midas;5;5;;Yes;81;Boy Group
monsta x;;몬스타엑스;2014-05-14;Starship;6;7;Monbebe;Yes;82;Boy Group
mr.mr;;미스터미스터;2012-10-04;WinningIn;6;5;;Yes;83;Boy Group
mustb;;머스트비;2019-01-21;MustM;7;7;;Yes;84;Boy Group
mvp;;엠브이피;2017-03-13;PH;7;7;;Yes;85;Boy Group
mxm;;엠엑스엠;2017-09-06;Brand New;2;2;;Yes;86;Boy Group
myname;;마이네임;2011-10-27;H2;5;5;MYgirl;Yes;87;Boy Group
myteen;;마이틴;2017-07-26;The Music Works;6;7;;Yes;88;Boy Group
n-sonic;;엔소닉;2011-10-05;C2K;6;5;;No;89;Boy Group
n-train;;엔트레인;2011-05-27;MediaLine;5;5;;No;90;Boy Group
n.flying;;엔플라잉;2015-05-20;FNC;4;4;N.Fia;Yes;91;Boy Group
nct;;엔시티;2016-04-09;SM;18;18;NCTzen;Yes;92;Boy Group
newkidd;;뉴키드;2019-04-25;J-FLO;7;7;;Yes;93;Boy Group
noir;;느와르;2018-04-09;LUK;9;9;;Yes;94;Boy Group
ntb;;엔티비;2018-05-28;High Choice;6;6;;Yes;95;Boy Group
nu'est;;뉴이스트;2012-03-15;Pledis;5;5;LOΛΕ;Yes;96;Boy Group
oneus;;원어스;2019-01-09;RBW;6;6;;Yes;97;Boy Group
onf;;온앤오프;2017-08-02;WM;6;7;;Yes;98;Boy Group
pentagon;PTG;펜타곤;2016-10-10;Cube;9;10;;Yes;99;Boy Group
phantom;;팬텀;2011-11-25;Brand New, RBW;3;3;;No;100;Boy Group
rainz;;레인즈;2017-10-12;(Genie);7;7;Rainzer;No;101;Boy Group
road boyz;;로드 보이즈;2015-11-17;Coconut;5;5;;No;102;Boy Group
romeo;;로미오;2015-11-04;CT;7;7;;Yes;103;Boy Group
sechkies;6KIES;젝스키스;1997-04-15;DSP, YG;5;6;Yellowkies;Yes;104;Boy Group
seven o'clock;SOC;세븐어클락;2017-03-16;Staro, KDH;5;6;;Yes;105;Boy Group
seventeen;SVT;세븐틴;2015-05-26;Pledis;13;13;Carat;Yes;106;Boy Group
sf9;;에스에프나인;2016-10-05;FNC;9;9;Fantasy;Yes;107;Boy Group
sg wannabe;;SG 워너비;2004-01-20;B2M;3;4;;Yes;108;Boy Group
shinee;;샤이니;2008-05-22;SM;4;5;Shawol;Yes;109;Boy Group
shinhwa;;신화;1998-03-24;SM, Good, Shinhwa;6;6;Shinhwa Changjo;Yes;110;Boy Group
signal;;시그널;2019-08-28;J-Star;4;4;;Yes;111;Boy Group
snuper;;스누퍼;2015-11-16;Widmay;6;6;Swing;Yes;112;Boy Group
spectrum;;스펙트럼;2018-05-09;WYNN;6;7;;Yes;113;Boy Group
speed;;스피드;2013-01-15;MBK;7;7;;No;114;Boy Group
