Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2020-05-22;agust d;Daechwita;대취타;;https://youtu.be/qGjAWJ2zWWI;Boy Solo;Major;463211676,0;15026379,0;1377719,0;1;0,03243955145897488
2020-05-21;yubin;yaya (Me Time);넵넵;;https://youtu.be/BJD0arHF_5c;Girl Solo;Major;1196539,0;53236,0;2697,0;2;0,04449165468070827
2020-05-21;onlyoneof;Angel (prod. GRAY);;;https://youtu.be/vVTo8p72FxQ;Boy;Major;7630194,0;85263,0;3992,0;3;0,011174420991130763
2020-05-20;ryu sujeong;Tiger Eyes;;;https://youtu.be/aE6curPGQRY;Girl Solo;Major;2675044,0;43217,0;3486,0;4;0,016155622113131596
2020-05-20;crush;Mayday feat. Joy (Red Velvet);자나깨나;;https://youtu.be/29ycT6fA-Rs;Boy Solo;Major;18690673,0;665181,0;31744,0;5;0,035588927161691826
2020-05-19;nct 127;Punch;;;https://youtu.be/U08OSl3V4po;Boy;Major;46555941,0;1828052,0;456340,0;6;0,039265708322811045
2020-05-19;secret number;Who Dis?;;;https://youtu.be/mkYwq_CKpyw;Girl;Major;48191871,0;1638851,0;452695,0;7;0,03400679338637838
2020-05-18;redsquare;ColorFull;;;https://youtu.be/we1wqjcsYBU;Girl;Major;nan;nan;nan;8;nan
2020-05-18;n.flying;Amnesia;;;https://youtu.be/UcxNeKzdDN4;Boy;Japanese;485902,0;29920,0;1603,0;9;0,0615762026087565
2020-05-18;txt;Can't You See Me?;세계가 불타버린 밤, 우린...;;https://youtu.be/cMFHUTJ13Ys;Boy;Major;78528314,0;3638426,0;590468,0;10;0,046332664164927824
2020-05-15;woo!ah!;woo!ah!;우아;;https://youtu.be/FBcuYNTmYdM;Girl;Major;nan;nan;nan;11;nan
2020-05-15;oh my girl;Dolphin;;;https://youtu.be/oaRTMjLdiDw;Girl;Special;36627658,0;0,0;12105,0;12;0,0
2020-05-14;unvs;Give You Up;;;https://youtu.be/AhHkUqlELvU;Boy;Major;163573,0;5105,0;486,0;13;0,031209307159494538
2020-05-13;busters;Paeonia;피오니아;;https://youtu.be/ocFqqAMooSk;Girl;Major;460158,0;26705,0;2717,0;14;0,05803441426640415
2020-05-13;bol4;Hug;품;;https://youtu.be/qfeoX17dav0;Girl;Major;4764365,0;115618,0;3926,0;15;0,024267242329250593
2020-05-12;bvndit;Jungle;정글;;https://youtu.be/-lqsGDqkl2c;Girl;Major;1501725,0;126023,0;5984,0;16;0,08391882668264829
2020-05-12;baek z young, ong seongwu;didn't say anything;아무런 말들도;;https://youtu.be/nfEPWfKtS0k;Co-ed;Special;901149,0;60639,0;2767,0;17;0,06729075879793464
2020-05-11;nu'est;I'm In Trouble;;;https://youtu.be/4Lm9u-iXrDc;Boy;Major;25505155,0;459314,0;45848,0;18;0,01800867314862427
2020-05-11;day6;Zombie;;;https://youtu.be/k8gx-C7GCGU;Boy;Major;20751772,0;1075922,0;78973,0;19;0,051847235021664655
2020-05-07;moon jongup;Headache feat. Yunhway;개화;;https://youtu.be/KTAZ7I8RylM;Boy Solo;Major;294763,0;26453,0;2134,0;20;0,08974328528343109
2020-05-07;natty;Nineteen;;;https://youtu.be/rQpWdm5zHOU;Girl Solo;Major;8961770,0;391789,0;18493,0;21;0,04371781467277112
2020-05-07;bol4;Leo feat. Baekhyun;;;https://youtu.be/L8UUYfe6-UA;Girl;Major;12639164,0;680173,0;50289,0;22;0,05381471432762484
2020-05-06;iu;eight feat. SUGA;에잇;;https://youtu.be/TgOu00Mf3kI;Girl Solo;Major;185716756,0;5887736,0;291475,0;23;0,03170277215051075
2020-05-05;2z;Doctor;;;https://youtu.be/JipujX1_8aQ;Boy;Major;160475,0;18167,0;1718,0;24;0,11320766474528743
2020-05-04;astro;Knock;널 찾아가;;https://youtu.be/Zz7YZtpz2Ek;Boy;Major;34376776,0;1262853,0;117974,0;25;0,036735643854444056
2020-05-04;fanatics;VAVI GIRL;;;https://youtu.be/10fv5Do3McY;Girl;Major;4158098,0;75953,0;0,0;26;0,0182662842482308
2020-05-04;taeyeon;Happy;;;https://youtu.be/Raj-AuQgCTg;Girl Solo;Major;11999874,0;719860,0;36522,0;27;0,059988963217447115
2020-04-29;nct dream;Ridin';라이딘;;https://youtu.be/vofjeJvRT9c;Boy;Major;85903187,0;2567256,0;434909,0;28;0,02988545698543175
2020-04-29;bibi;Kazino;사장님 도박은 재미로 하셔야 합니다;Segaji Video;https://youtu.be/ObzvA8tx9aA;Girl Solo;Major;19866253,0;516114,0;8887,0;29;0,025979433565051245
2020-04-28;ha:tfelt;Life Sucks;;;https://youtu.be/Qk0fkeMAUz0;Girl Solo;Major;nan;nan;nan;30;nan
2020-04-28;minseo;No Good Girl;;;https://youtu.be/Ctlp1NNqXq0;Girl Solo;Major;714720,0;28715,0;889,0;31;0,04017657264383255
2020-04-28;gwsn;Bazooka!;바주카;ZANYBROS;https://youtu.be/wMj3sLP_azg;Girl;Major;26800593,0;201239,0;13005,0;32;0,007508751765306089
2020-04-27;oh my girl;Nonstop;살짝 설렜어;;https://youtu.be/iDjQSdN_ig8;Girl;Major;96762525,0;1201814,0;58507,0;33;0,012420242237374438
2020-04-27;chungha;Stay Tonight;;Rigend Film;https://youtu.be/YPFIh0dfYfw;Girl Solo;Major;28387177,0;915335,0;27832,0;34;0,03224466455399915
2020-04-26;noir;Lucifer;;;https://youtu.be/30dfBPkKcRE;Boy;Major;1255464,0;113496,0;6492,0;35;0,09040163636711208
2020-04-26;ha:tfelt;Solitude;;;https://youtu.be/eto1czNzbwY;Girl Solo;Major;nan;nan;nan;36;nan
2020-04-26;ben;Bad;나쁜 놈;;https://youtu.be/BYQ5MKtSzd0;Girl Solo;Major;194949,0;13056,0;1107,0;37;0,06697136174076297
2020-04-23;ha:tfelt;Satellite;;;https://youtu.be/aiaLSkDDBec;Girl Solo;Major;nan;nan;nan;38;nan
2020-04-23;solar;Spit it out;뱉어;;https://youtu.be/V8FXWf0s7K0;Girl Solo;Major;24954789,0;1088527,0;50784,0;39;0,04361996408785504
2020-04-23;zico x kang daniel;Refresh;;;https://youtu.be/k7aIhVBX3hw;Boy;CF;12392269,0;248441,0;8876,0;40;0,020048063837219802
2020-04-22;april;LALALILALA;라라리라라;;https://youtu.be/cO9DbwTF7rY;Girl;Major;8842501,0;249852,0;27049,0;41;0,02825580681302722
